"","Pivot.SC.crn","samp.depth"
"1901",1.05510018477675,163
"1902",1.04740656086944,162
"1903",1.05012823757145,159
"1904",1.06630028486842,159
"1905",0.920553744346856,159
"1906",1.03149515408356,159
"1907",0.978929659170803,161
"1908",0.951049641410323,162
"1909",1.00530787124005,161
"1910",0.955921962515677,163
"1911",1.08293247587453,164
"1912",0.897304893098699,167
"1913",0.938055302765047,166
"1914",1.08715536782612,165
"1915",1.03332586426678,162
"1916",1.05494612053108,158
"1917",1.05465164086426,156
"1918",0.996691104378393,156
"1919",1.15657194700661,156
"1920",1.03170825267208,154
"1921",1.0358602713715,154
"1922",1.02431215486798,153
"1923",0.922030453678608,152
"1924",1.11686708160768,151
"1925",1.01466975622232,149
"1926",0.895477558858469,146
"1927",1.06503063781392,148
"1928",1.18107506676418,148
"1929",1.0102701304703,147
"1930",1.17412803906085,147
"1931",1.13663454440688,147
"1932",1.06958779835528,145
"1933",1.0036286955666,148
"1934",1.14738819994942,150
"1935",1.25129622420383,149
"1936",1.07992101528332,148
"1937",1.19996718436432,148
"1938",1.14300577768,150
"1939",1.08743604837214,150
"1940",1.07625178951013,146
"1941",1.190585526691,148
"1942",1.21543155340046,148
"1943",1.15117097042206,148
"1944",1.17423628238606,149
"1945",1.12423451086534,147
"1946",1.17506254485736,144
"1947",1.13815543063927,143
"1948",1.26973988353681,141
"1949",1.13988648718791,143
"1950",1.19176106631646,142
"1951",1.15471641773056,141
"1952",1.26679388323265,139
"1953",1.14037331259721,136
"1954",1.19439580665864,135
"1955",1.1471156667043,133
"1956",1.15442226116705,132
"1957",1.2522188915228,131
"1958",1.16982589723312,129
"1959",1.23071051888442,128
"1960",1.24309683083744,128
"1961",1.3250211177122,128
"1962",1.35778945480398,128
"1963",1.28516337104352,129
"1964",1.26978345086852,129
"1965",1.18532872744331,128
"1966",1.20863233302176,126
"1967",1.32759551831613,120
"1968",1.21368415819226,118
"1969",1.33745413477742,116
"1970",1.30158361615227,116
"1971",1.18619098930198,114
"1972",1.26339448372395,111
"1973",1.24922289697692,109
"1974",1.19427488242812,106
"1975",1.12921613186932,102
"1976",1.19369057520307,100
"1977",1.18972357220752,98
"1978",1.30430023819001,98
"1979",1.44152479860059,97
"1980",1.38507493435503,94
"1981",1.22797577513532,93
"1982",1.25954599637021,93
"1983",1.25876515426208,93
"1984",1.43778606626178,93
"1985",1.41173228837886,93
"1986",1.47661961689719,92
"1987",1.28798437469462,91
"1988",1.47180115690883,91
"1989",1.2474922082519,91
"1990",1.43204293053221,90
"1991",1.18845955860109,90
"1992",1.14257648229254,87
"1993",1.4487931925536,86
"1994",1.22490665744974,85
"1995",1.38279824985246,83
"1996",1.33630214573897,81
"1997",1.33478180320465,81
"1998",1.40849023501234,81
"1999",1.51990558370505,81
"2000",1.5505900239327,81
"2001",1.46939625695262,81
"2002",1.52131717866641,81
"2003",1.56652815500744,80
"2004",1.44833783559841,80
"2005",1.60010764772609,80
"2006",1.57361534297705,80
"2007",1.63292265576255,80
"2008",1.64913994235022,80
"2009",1.37595180546049,80
"2010",1.65983827830676,80
"2011",1.70714203467194,80
"2012",1.70214072154551,80
"2013",1.58870021623869,80
"2014",1.48028512109249,80
"2015",1.44273804793152,80
"2016",1.54350999559984,80
